Year,TN1,TN2,TN3,TN4,Elevation,Isolation-by-distance,Oak-Hickory,Mixed
2009,0,0,-,-,370.0,9.0,0,1
2009,0,0,0,0,600.0,21.6,1,0
2009,0,0,-,-,510.0,2.9,1,0
2009,1,-,-,-,1040.0,1.9,0,1
2009,0,0,0,0,450.0,3.3,1,0
2009,1,1,1,1,900.0,5.3,0,1
2009,0,0,0,0,1010.0,4.2,0,1
2009,1,-,-,-,1080.0,1.6,1,0
2009,1,-,-,-,1050.0,16.6,1,0
2009,0,0,0,0,450.0,10.2,0,1
2009,0,0,0,0,450.0,12.1,0,1
2009,1,-,-,-,1070.0,2.6,0,1
2009,0,0,0,0,1070.0,4.9,0,1
2009,1,1,1,1,600.0,6.9,1,0
2009,1,-,-,-,600.0,7.6,0,0
2009,0,0,0,0,740.0,1.0,0,1
2009,1,0,1,1,680.0,8.1,1,0
2009,1,1,1,1,450.0,0.3,1,1
2009,1,1,1,1,1000.0,3.1,0,1
2009,1,1,-,-,530.0,37.6,0,1
2009,0,0,0,0,450.0,25.5,0,1
2009,0,0,-,-,450.0,48.0,1,0
2009,1,-,-,-,960.0,4.7,1,0
2009,1,-,-,-,540.0,16.1,0,1
2009,0,0,-,1,840.0,16.6,1,0
2009,1,-,-,-,610.0,3.3,0,1
2009,0,0,-,-,630.0,6.2,1,0
2009,0,0,1,1,1040.0,6.4,1,0
2009,0,0,0,0,1040.0,0.7,0,1
2009,1,-,-,-,750.0,0.3,1,0
2009,1,1,1,1,870.0,2.4,1,0
2009,1,-,-,-,820.0,1.8,1,0
2009,1,1,1,1,1020.0,1.4,1,0
2009,1,1,1,1,660.0,1.0,1,0
2009,0,1,1,1,910.0,2.4,1,0
2009,1,1,1,1,740.0,1.0,1,0
2009,1,-,-,-,1040.0,2.8,1,0
2009,1,-,-,-,1090.0,1.0,0,1
2009,1,1,1,1,360.0,4.6,1,0
2009,1,-,-,-,960.0,1.5,0,1
2009,0,0,1,0,460.0,1.0,1,0
2009,0,0,-,-,960.0,2.3,0,1
2009,1,1,1,1,860.0,3.6,1,0
2009,0,0,0,0,920.0,0.8,0,1
2009,1,-,-,-,950.0,3.6,0,1
2009,1,1,1,1,700.0,4.2,0,1
2009,1,1,1,1,920.0,1.4,1,0
2009,1,-,-,-,840.0,1.8,1,0
2009,1,0,0,0,910.0,4.9,1,0
2009,0,0,0,0,1010.0,0.3,0,1
2009,0,0,0,0,1020.0,1.8,1,0
2009,1,1,1,1,950.0,0.8,1,0
2009,0,0,1,0,1100.0,3.6,0,1
2009,0,0,0,0,1010.0,2.3,1,0
2009,1,1,1,1,900.0,4.9,1,0
